id,name,allergen,category
1,Alaska pollock,,Meat/Seafood
2,Albacore,,Meat/Seafood
3,American lobster,Shellfish,Meat/Seafood
4,Anchovy,,Meat/Seafood
5,Anchovy filets,,Meat/Seafood
6,Angus beef,Meat,Meat/Seafood
7,Argentine shortfin squid,Shellfish,Meat/Seafood
8,Atlantic cod,,Meat/Seafood
9,Atlantic herring,,Meat/Seafood
10,Atlantic mackerel,,Meat/Seafood
11,Atlantic salmon,,Meat/Seafood
12,Beef,Meat,Meat/Seafood
13,Beef casing,Meat,Meat/Seafood
14,Beef fat,Meat,Meat/Seafood
15,Beef heart,Meat,Meat/Seafood
16,Beef meat,Meat,Meat/Seafood
17,Boiled egg,Eggs,Meat/Seafood
18,Calf rennet,Meat,Meat/Seafood
19,Caribbean spiny lobster,Shellfish,Meat/Seafood
20,Chicken,Meat,Meat/Seafood
21,Chicken breast,Meat,Meat/Seafood
22,Chicken fat,Meat,Meat/Seafood
23,Chicken liver,Meat,Meat/Seafood
24,Chicken meat,Meat,Meat/Seafood
25,Chicken thigh,Meat,Meat/Seafood
26,Cod,,Meat/Seafood
27,Cod liver,,Meat/Seafood
28,Cooked beef meat,Meat,Meat/Seafood
29,Coppa,Meat,Meat/Seafood
30,Crustacean,Shellfish,Meat/Seafood
31,Deep-sea shrimp,Shellfish,Meat/Seafood
32,Duck,Meat,Meat/Seafood
33,Duck fat,Meat,Meat/Seafood
34,Duck foie gras,Meat,Meat/Seafood
35,Duck gizzard,Meat,Meat/Seafood
36,Duck liver,Meat,Meat/Seafood
37,Duck meat,Meat,Meat/Seafood
38,Fat,,Meat/Seafood
39,Fish,,Meat/Seafood
40,Hake,,Meat/Seafood
41,Herring,,Meat/Seafood
42,Herring fillet,,Meat/Seafood
43,Horse,Meat,Meat/Seafood
44,Horse meat,Meat,Meat/Seafood
45,Humboldt squid,Shellfish,Meat/Seafood
46,Lamb,Meat,Meat/Seafood
47,Lamb meat,Meat,Meat/Seafood
48,Lard,Meat,Meat/Seafood
49,Lardon,Meat,Meat/Seafood
50,Lean duck liver,Meat,Meat/Seafood
51,Liver,Meat,Meat/Seafood
52,Lobster,Shellfish,Meat/Seafood
53,Mackerel,,Meat/Seafood
54,Mackerel fillet,,Meat/Seafood
55,Meat,Meat,Meat/Seafood
56,Meat patty,Meat,Meat/Seafood
57,Mollusc,Shellfish,Meat/Seafood
58,Norway lobster,Shellfish,Meat/Seafood
59,Pink salmon,,Meat/Seafood
60,Pork,Meat,Meat/Seafood
61,Pork belly,Meat,Meat/Seafood
62,Pork breast,Meat,Meat/Seafood
63,Pork fat,Meat,Meat/Seafood
64,Pork fillet,Meat,Meat/Seafood
65,Pork liver,Meat,Meat/Seafood
66,Pork loin,Meat,Meat/Seafood
67,Pork meat,Meat,Meat/Seafood
68,Pork rind,Meat,Meat/Seafood
69,Pork sausage,Meat,Meat/Seafood
70,Pork shoulder,Meat,Meat/Seafood
71,Poultry,Meat,Meat/Seafood
72,Poultry fat,Meat,Meat/Seafood
73,Poultry liver,Meat,Meat/Seafood
74,Poultry meat,Meat,Meat/Seafood
75,Quail,Meat,Meat/Seafood
76,Rabbit,Meat,Meat/Seafood
77,Rabbit meat,Meat,Meat/Seafood
78,Raw ham,Meat,Meat/Seafood
79,Roast chicken,Meat,Meat/Seafood
80,Salami,Meat,Meat/Seafood
81,Salmon,,Meat/Seafood
82,Sardine,,Meat/Seafood
83,Scallop,Shellfish,Meat/Seafood
84,Sheep,Meat,Meat/Seafood
85,Shellfish,Shellfish,Meat/Seafood
86,Shrimp,Shellfish,Meat/Seafood
87,Skipjack tuna,,Meat/Seafood
88,Smoked bacon,Meat,Meat/Seafood
89,Smoked cooked lardoons,Meat,Meat/Seafood
90,Smoked cured ham,Meat,Meat/Seafood
91,Smoked lardoons,Meat,Meat/Seafood
92,Smoked sausage,Meat,Meat/Seafood
93,Snail,Shellfish,Meat/Seafood
94,Squid,Shellfish,Meat/Seafood
95,Superior cooked ham,Meat,Meat/Seafood
96,Surimi,,Meat/Seafood
97,free-range chicken,Meat,Meat/Seafood
98,Tuna,,Meat/Seafood
99,Turkey,Meat,Meat/Seafood
100,Turkey breast,Meat,Meat/Seafood
101,Turkey meat,Meat,Meat/Seafood
102,Veal,Meat,Meat/Seafood
103,Veal fond,Meat,Meat/Seafood
104,Veal meat,Meat,Meat/Seafood
105,Acacia fibre,,Produce
106,Acacia honey,,Produce
107,Acerola,,Produce
108,Acerola juice,,Produce
109,Acerola powder,,Produce
110,Aloe vera,,Produce
111,Aloe vera juice,,Produce
112,Ananas flavouring,,Produce
113,Aniseed,,Produce
114,Apple,Citrus,Produce
115,Apple extract,Citrus,Produce
116,Apple fiber,Citrus,Produce
117,Apple flavouring,Citrus,Produce
118,Apricot,Citrus,Produce
119,Artichoke,,Produce
120,Asparagus,,Produce
121,Aubergine,,Produce
122,Baby spinach,,Produce
123,Bamboo,,Produce
124,Bamboo fibre,,Produce
125,Bamboo shoot,,Produce
126,Banana,,Produce
127,Banana flavouring,,Produce
128,Basil,,Produce
129,Bay leaf,,Produce
130,Beans,,Produce
131,Beet sugar,,Produce
132,Beetroot,,Produce
133,Beetroot juice,,Produce
134,Beetroot juice concentrate,,Produce
135,Bell pepper,,Produce
136,Bergamot orange flavouring,,Produce
137,Berries,,Produce
138,Black carrot,,Produce
139,Black carrot juice,,Produce
140,Black olive,,Produce
141,Black radish,,Produce
142,Blackberry,,Produce
143,Blackcurrant,,Produce
144,Blueberry,,Produce
145,Broccoli,,Produce
146,Cabbage,,Produce
147,Caraway,,Produce
148,Carrot,,Produce
149,Carrot extract,,Produce
150,Cauliflower,,Produce
151,Celery,,Produce
152,Celery leaves,,Produce
153,Cep,,Produce
154,Chard,,Produce
155,Cherry,,Produce
156,Cherry tomato,,Produce
157,Chickpea,,Produce
158,Chicory,,Produce
159,Chicory root,,Produce
160,Chili pepper,,Produce
161,Chili puree,,Produce
162,Chinese hibiscus,,Produce
163,Chives,,Produce
164,Chokeberry,,Produce
165,Chokeberry juice,,Produce
166,Chopped tomatoes,,Produce
167,Citrus fruit,Citrus,Produce
168,Citrus fruit extract,Citrus,Produce
169,Clementine,Citrus,Produce
170,Clove,,Produce
171,Coconut,,Produce
172,Corn,,Produce
173,Courgette,,Produce
174,Cranberry,,Produce
